file_name,method_name,line_count,complexity,code_smell_detected
cross_device_utils_test.py,testAggregateIndexedSlices,9,1,False
cross_device_utils_test.py,testDivideTensor,6,1,False
cross_device_utils_test.py,testDivideIndexedSlices,8,1,False
cross_device_utils_test.py,testIsIndexedSlices,4,1,False
cross_device_utils_test.py,testCopyTensor,10,1,False
cross_device_utils_test.py,testCopyIndexedSlices,12,1,False
cross_device_utils_test.py,testCopyIndexedSlicesNoDenseShape,13,1,False
cross_device_utils_test.py,testPreferLargerPack,21,1,False
cross_device_utils_test.py,testZeroBytesPerPack,10,1,False
cross_device_utils_test.py,testUnknownShape,12,1,False
cross_device_utils_test.py,create_placeholder,3,1,False
small_constants_optimizer_test.py,options,7,1,False
small_constants_optimizer_test.py,test_grappler_optimization,31,1,True
small_constants_optimizer_test.py,test_small_constants_optimization_with_grappler,29,1,False
small_constants_optimizer_test.py,test_small_constants_optimization_disabled,16,1,False
small_constants_optimizer_test.py,test_small_constants_optimization_invalid_input,12,1,False
small_constants_optimizer_test.py,test_small_constants_optimization_without_grappler,33,1,True
small_constants_optimizer_test.py,brancher,8,3,False
small_constants_optimizer_test.py,brancher_true,9,3,False
small_constants_optimizer_test.py,func,8,3,False
small_constants_optimizer_test.py,func,2,1,False
small_constants_optimizer_test.py,func,2,1,False
small_constants_optimizer_test.py,func,8,3,False
remote_cloud_tpu_test.py,test_connect,25,5,False
timeline.py,__init__,5,1,False
timeline.py,_create_event,33,1,True
timeline.py,emit_pid,13,1,False
timeline.py,emit_tid,15,1,False
timeline.py,emit_region,25,1,False
timeline.py,emit_obj_create,22,1,False
timeline.py,emit_obj_delete,22,1,False
timeline.py,emit_obj_snapshot,25,1,False
timeline.py,emit_flow_start,18,1,False
timeline.py,emit_flow_end,18,1,False
timeline.py,emit_counter,22,1,False
timeline.py,emit_counters,13,1,False
timeline.py,format_to_string,15,2,False
timeline.py,__init__,33,1,True
timeline.py,name,3,1,False
timeline.py,pid,3,1,False
timeline.py,create_time,3,1,False
timeline.py,object_id,3,1,False
timeline.py,num_bytes,3,1,False
timeline.py,allocator,3,1,False
timeline.py,last_unref,3,1,False
timeline.py,add_ref,7,1,False
timeline.py,add_unref,7,1,False
timeline.py,__init__,28,1,False
timeline.py,_alloc_pid,5,1,False
timeline.py,_alloc_flow_id,5,1,False
timeline.py,_parse_op_label,14,3,False
timeline.py,_parse_kernel_label,11,4,False
timeline.py,_assign_lanes,17,6,False
timeline.py,_emit_op,31,5,True
timeline.py,_emit_tensor_snapshot,22,1,False
timeline.py,_produce_tensor,15,1,False
timeline.py,_is_gputrace_device,3,2,False
timeline.py,_allocate_pids,13,2,False
timeline.py,_analyze_tensors,38,6,True
timeline.py,_show_compute,51,12,True
timeline.py,_show_memory_counters,54,7,True
timeline.py,_preprocess_op_time,54,12,True
timeline.py,analyze_step_stats,35,2,True
timeline.py,generate_chrome_trace_format,32,1,True
run_eager_op_as_function_xla_test.py,testVarCreateReadDestroy,5,1,False
run_eager_op_as_function_xla_test.py,testReadVariableInFunction,10,1,False
run_eager_op_as_function_xla_test.py,f,2,1,False
input_lib.py,get_iterator_spec_from_dataset,39,3,True
input_lib.py,_calculate_replicas_with_values,27,4,False
input_lib.py,_is_statically_shaped,27,7,False
input_lib.py,_dummy_tensor_fn,55,1,True
input_lib.py,_get_value_or_dummy,33,4,True
input_lib.py,_create_iterators_per_worker,19,4,False
input_lib.py,_create_datasets_from_function_with_input_context,11,2,False
input_lib.py,_get_batched_dataset,16,4,False
input_lib.py,_get_batched_dataset_attributes,20,6,False
input_lib.py,_get_dataset_attributes,19,4,False
input_lib.py,_should_use_multi_device_iterator,9,5,False
input_lib.py,_create_distributed_tensor_spec,27,2,False
input_lib.py,_replace_per_replica_spec,6,2,False
